index,also,american,anniversari,ask,busi,career,chairman,club,colleagu,commun center,compani,countri,cullman,dedic,director,execut,farooq kathwari,honor,hous,humanitarian,jew,jewish commun,kathwari,latvia,leadership,life,member,mr speaker,new,new york,organ,outstand,peac,peopl,presid,recognit,refuge,serv,speaker,state,success,teenag,teenag republican,today,unit,unit state,world,year,york,young,speaker_party
0,2,0,0,1,0,3,0,0,1,4,0,0,0,2,4,2,0,0,0,0,0,4,0,0,2,0,2,2,5,5,0,1,0,1,2,1,0,1,2,0,1,0,0,2,0,0,0,1,5,1,D
1,2,0,0,0,0,0,0,4,1,0,0,0,6,1,0,1,0,2,0,0,0,0,0,0,3,0,2,2,1,0,3,4,0,1,0,0,0,0,2,1,0,6,5,0,0,0,0,2,0,5,R
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,D
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R
6,0,0,4,2,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,7,4,0,8,1,1,0,1,0,0,1,0,0,3,0,2,0,0,1,2,2,0,0,2,2,2,3,1,0,0,D
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R
8,5,4,0,1,4,2,4,0,1,0,5,1,0,4,5,1,7,4,1,5,0,0,8,0,1,3,1,2,1,1,1,1,5,1,5,2,5,4,2,2,1,0,0,1,3,2,3,3,1,0,D
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R
